year,mass,mission,organisation,description_verbatim,failure_severity,never_heard_from,failure_inferred_only_from_absence_of_publications,source,source_type
2007,1 kg,AeroCube-2,Unknown,"The Aerospace Corporation Almost immediate failure after launch due to failure of solar power system. However, the camera was able to take the first picture of another satellite.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2007,1 kg,CAPE 1 University of Louisiana,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2007,163 kg,CFESat Los Alamos National Laboratory Overall,a successful,"CFESat Los Alamos National Laboratory Overall, a successful mission, but there were some problems. Only one of three antennae masts inflated correctly. Attitude instability and underperformance of power system. Numerous computer crashes loss of attitude control allowed camera to operate only in daylight.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2007,1 kg,CP3 Cal Poly Picosatellite Project,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2007,160 kg,EgyptSat 1,Unknown,"After 3 years of successful operation, the S-band control communication link was lost, National Authority for Remote Sensing and Space Sciences, Egypt ending operations of a planned 5-year mission.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2007,1U,Libertad 1 Universidad Sergio Arboleda,Columbia,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2007,1U,"x 3 MAST Tethers Unlimited and Stanford University Sought to deploy a 1,000 m tether",but deployed only 1 m before “Ted” satellite lost battery power,Communication with only one satellite was achieved.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2008,1 kg,AAU-CubeSat-2 Aalborg University,Denmark Operating system m,"AAU-CubeSat-2 Aalborg University, Denmark Operating system malfunction. Rebooted 10-14 times daily caused by timing errors on the bus. Flight plan erased and de-tumbling inactivated with every reboot. Some data received showing tumbling above 2 Hz.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2008,1 kg,COMPASS-1 University of Applied Science at Aachen,Germany,"COMPASS-1 University of Applied Science at Aachen, Germany. Initial problems with signal transmission and reception. Hard reset put satellite into emergency mode for several days, causing heater to fail. Images from camera of poor quality due to faulty exposure. GPS receiver failure due to improper antenna installation.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2008,2 kg,CUTE-1.7+APD Tokyo Tech Engineering,Unknown,Satellite Failures in the communication system after launch made it impossible to conduct any experiments. A single event latch-up (SEL) is suspected as the cause.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2008,3 kg,Delfi-C3 Delft University of Technology,Unknown,"The Netherlands. The radio transponder failed after 9 months. One of two sun sensors failed, but one was enough for mission success. The CDHS design has an inherent flaw that often prevented data transmission on the bus, leading to either insertion of zero’s in the telemetry data, arbitrary switch off of subsystems, a reset of the computer or even a fall back to a very limited back-up mode.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2008,115 kg,Orbcomm 1-5 (5 satellites) OHB-System,"PO Polyot, and Orbita","Orbcomm 1-5 (5 satellites) OHB-System, PO Polyot, and Orbital Sciences Corp All satellites had problems with their reaction wheels. Some had initial problems with on-board computer software. Eventually, all satellites failed.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2008,6.5 kg,PSSCT,Unknown,The Aerospace Corporation Loss of spin stabilization caused by eddy currents in aluminum hull prevented desired solar cell performance data to be obtained.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,1 kg,AeroCube-3,Unknown,"The Aerospace Corporation After 205 days on orbit, the satellite radio could not acknowledge that the ground station was talking to it and could not accept commands. A balloon meant to test as de- orbiting device was ejected but did not inflate.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,3.5 kg,AggieSat 2 Texas A&M University,Unknown,"Launched from shuttle, but failed to separate from BEVO 1 satellite.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,50 kg,ANDE 2 (AA,"PA) NASA, JSC Although the two satellites were s","ANDE 2 (AA, PA) NASA, JSC Although the two satellites were successfully placed into orbit and temperature measurements were obtained, no papers reporting results of planned density of LEO atmosphere have been published.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,3.5 kg,BEVO 1 Texas A&M University,Unknown,"Launched from shuttle, but failed to separate from AggieSat 2 satellite.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,6 kg,BLITS Hit by debris from Chinese missile test. Federal State,Unknown,"BLITS Hit by debris from Chinese missile test. Federal State Unitary Enterprise - Institute for Precision Engineering, R&D center, Moscow, Russia",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,1 kg,CP 6 Cal Poly Picosatellite Project,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,1U,HawkSat 1 Hawk Institute for Space Sciences (HISS),Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,1U,ITÜ-pSat 1 Istanbul Technical University (ITÜ),Unknown,"Satellite deployed into orbit, but on-board modem failed after launch. Therefore only beacon signal could be sent. No data received from on- board camera.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,20 kg,Kagayaki (SORUNSAT 1) Sorun Corporation,Japan,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,3 kg,KKS 1 Tokyo Metropolitan College of Industrial Technology La,Unknown,KKS 1 Tokyo Metropolitan College of Industrial Technology Laser ignition of microthrusters could not be executed due to undisclosed problems with the satellite.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,100 kg,SDS-1 JAXA All objectives of the mission were demonstrated,Unknown,"SDS-1 JAXA All objectives of the mission were demonstrated, but radio frequency interference in critical phases caused some loss of satellite control.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,50 kg,SpriteSat (Rising) Tohoku University of Sendai,Japan Several problems prevented operation,"The battery charging system allowed the temperature of the battery to reach critical levels. The boom obscured the solar panels causing temporary low voltages, which in turn caused the main controller logic to malfunction. The uplink radio and the signal modulation to the downlink radio were disabled as a result.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,4.2 kg,3.8 kg STARS 1 Kagawa University and Takamatsu National Coll,Unknown,"3.8 kg STARS 1 Kagawa University and Takamatsu National College of Technology, Japan. Deployment of tether between mother and daughter satellites of only 20 cm of possible 350 m.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,160 kg,Sterkh 1 and 2 PO Polyot,Russia Sterkh 1 suffered a failure,"Sterkh 1 and 2 PO Polyot, Russia Sterkh 1 suffered a failure of the flight control system that prevented it from aligning the solar cells. Sterkh 2 suffered a deployment failure of its stabilization boom.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,82 kg,SumbandilaSat University of Stellenbosch,South Africa,"The satellite suffered a permanent loss of the Z-axis reaction wheel early during commissioning. However, the control algorithms were adapted to allow for controlled imaging with the remaining two wheels. Also, due to a power system anomaly, one of the two, three-color CCD control boards was lost. After 22 months of operation, SumbandilaSat stopped working due to a solar storm.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,1U,SwissCube Swiss Federal Institute of Technology,Sweden Over,"SwissCube Swiss Federal Institute of Technology, Sweden Over time, the computer data bus hung, but it was possible to reset the system by draining the batteries, this allowing the mission to continue.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,30 kg,Tatiana-2 National Cheng Kung University,"Taiwan, and Moscow State University, Russia Ceased operation after",3 months of successful operation due to failure of attitude control system.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,35 kg,UGATUSAT Ufimskiy Gosudarstvenniy Aviatsionniy Tekhnicheskiy Universitet,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,98 kg,Universitetsky 2,Unknown,"After three months of successful operation, an attitude control problem Moscow State University ended the intended 1-year mission. Still, a successful mission overall.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2009,1U,UWE-2 University of Würzburg and Fachhochschule Weingarten,Germany,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,1.2 kg,Waseda-SAT2 Waseda University,Japan,Contact with the satellite was not established after launch.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,3U,Colony-1 NRO Mission life only,Unknown,30 days due to deployment in lower orbit than planned.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,180 kg,FalconSat-5 US Air Force Academy Mission could not be comple,Unknown,FalconSat-5 US Air Force Academy Mission could not be completed due to failure of electrical power system.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,15 kg,FASTRAC 1 and 2 University of Texas,Unknown,"The two satellites were commanded to separate on March 14, but did not separate until March 21. Relative navigation objective not achieved due to failure of a microcontroller on one satellite. Otherwise, a successful mission.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,1.5 kg,Hayato Kagoshima University,Japan,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,1U,KSAT Kagoshima University,Japan,Contact with the satellite was not established after launch.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,3U,Mayflower-Caerus Northrop Grumman and the University of Southern California,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,1 kg,Negai-Star Soka University,Unknown,The mission was to make the satellite into a visible shooting star. No reports of anyone seeing this shooting star were reported.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,480 kg,Planet C JAXA,Unknown,"Satellite failed to enter orbit around Venus the first attempt due to engine fuel problems. Attempts to enter in 2015 using RCS thrusters was successful, but orbit not optimal.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,3 kg,RAX-1 University of Michigan,Unknown,The RAX-1 electrical power system created electro- magnetic interference at the same frequency as the UHF communication when the solar panels were illuminated. The mission ended prematurely after more than 60 days of operation due to the problem with the solar panels.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,1 kg,STUDSat Indian Engineering Colleges of Hyderabad and Bangalore,Unknown,"Successfully deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,1 kg,TISat 1 SUPSI-DTI Switzerland,Unknown,"Successfully placed into orbit for several years. However, no data appears to have been received from the Atomic Oxygen Measurement (AOM) apparatus. Beacon transmissions received with the help of ham radio operators.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2010,20 kg,UNITEC-1 University Space Engineering Consortium,Japan,"Contact lost shortly after launch, but received intermittently later, then finally lost.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,1 kg,E1P-2 / HRBE Montana State University,Unknown,Two of the three satellites thought to be accidentally conjoined by their antennae. Some objectives of mission were accomplished.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,10 kg,EDUSAT,Unknown,"Presumed mission failure. Many papers written in years GAUSS, Rome preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,1U,Explorer-1 Prime Montana State University,Unknown,Satellite thought to be magnetically conjoined to other small satellite on deployment.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,52 kg,FalconSat-4 US Air Force Academy Initial contact lost for several weeks,Unknown,"After a year and a half, the satellite was stabilized with gravity boom. Magnetorquers and magnetometers interferred with each other. Payload inoperative. Non-working sun sensors. Improper time- stamping of telemetry data.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,4 kg,Jugnu Indian Institute of Technology,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,1 kg,M3 / M-Cubed University of Michigan There was no separation between the two CubeSats MCubed and HRBE (Hiscock Radiation Belt Explorer) after on-orbit deployment,Unknown,The single permanent magnet of the CubeSat used as a passive earth-alignment control system likely stuck the satellite together.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,3.7 kg,PSSCT-2,Unknown,"The Aerospace Corporation Troubleshooting RF- interference problems with the satellite’s secondary radio system and testing attitude control algorithms on-orbit with a single ground station consumed most of the mission time. The communication link was degraded by terrestrial radio frequency interference and non-optimum satellite orientation, making in-flight re-programming difficult. Three solid rocket motors carried on the satellite failed to ignite.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,3U,RAX-2 University of Michigan SD card used by main computer f,Unknown,RAX-2 University of Michigan SD card used by main computer failed during mission. MHX and UHF radios also failed near the end of the mission.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,169 kg,Sich 2 Yuzhnoye,NKAU Battery failure caused satellite to st,"Sich 2 Yuzhnoye, NKAU Battery failure caused satellite to stop operating after 1 year of planned 5 year remote Earth sensing mission.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2011,11 kg,SRMSAT SRM University,India Probable mission failure,"Successfully placed into orbit to monitor greenhouse gases, but, complaints found on web asking why no data was made available.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,1 kg,AeroCube-4A,Unknown,"The Aerospace Corporation Despite having reaction wheels and torque coils, the satellite could not be made to stop tumbling. Contact lost after wing-close command issued. (Note: AeroCubes 4B and 4C launched with 4A were successful.)",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,12 kg,ALMASat-1 University of Bologna,Italy A few days into opera,"ALMASat-1 University of Bologna, Italy A few days into operation, contact lost due to suspected power failure.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,3U,CINEMA-1 University of California,"Berkeley, Imperial Colleg","CINEMA-1 University of California, Berkeley, Imperial College London, Kyung Hee University, and NASA Ames Research Center. Command uplink issue caused by interference between the UHF receiver onboard and other spacecraft systems. Partially solved by increasing the antenna gain used on the ground station. Also experienced lockup of the primary data storage SD card.",Partial (stated in text),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
